event_id,rf_score,if_score,behavior_score,risk_score,actual_label,risk_level
1,1.0,0.6963274973493223,1.0,0.9088982492047968,1,CRITICAL
2,1.0,0.6696534577226002,1.0,0.90089603731678,1,CRITICAL
3,0.01,0.2747437813198279,0.22758431102786605,0.1329399966015216,0,NORMAL
4,0.91,0.5825750011642442,0.5404529041260605,0.7378630811744853,1,HIGH
5,0.46,0.748398593593509,0.7859011705148277,0.6116998121810182,1,HIGH
6,0.0,0.013285699803503486,0.17051990574731846,0.038089691090514737,0,NORMAL
7,0.02,0.45713281983830967,0.6348979689191521,0.2741194397353233,0,NORMAL
8,0.13,0.23591609475291248,0.20533467753999127,0.176841763933872,1,NORMAL
9,0.0,0.06485040350601334,0.15809065569222983,0.05107325219024997,0,NORMAL
10,0.13,0.3069647488422311,0.2559370702875623,0.2082768387101818,1,NORMAL
11,0.16,0.3201471030209977,0.3540365083246217,0.24685143257122366,1,NORMAL
12,0.02,0.25598141885533315,0.34279824739081927,0.1553540751347638,0,NORMAL
13,1.0,0.6710879146081714,1.0,0.9013263743824513,1,CRITICAL
14,0.74,0.7959367525894714,1.0,0.8087810257768413,1,CRITICAL
15,0.02,0.4247091438104351,0.8489848222422887,0.3072097075915883,0,WATCH
16,0.0,0.005766341955708398,0.1907745947532484,0.0398848215373622,0,NORMAL
17,0.0,0.019222505566887118,0.19258715691133516,0.04428418305233317,0,NORMAL
18,0.0,0.014533655141304797,0.19588652958383737,0.043537402459158915,0,NORMAL
19,0.15,0.46181315119473837,0.8127321076389729,0.3760903668862161,0,WATCH
20,1.0,0.6930352704889862,1.0,0.9079105811466959,1,CRITICAL
21,1.0,0.6234431433795604,1.0,0.8870329430138681,1,CRITICAL
22,0.96,0.7357709744275405,1.0,0.9007312923282622,1,CRITICAL
23,0.0,0.010159032406118389,0.19802606973225131,0.04265292366828578,0,NORMAL
24,0.0,0.018651609552597197,0.17315614009603106,0.040226710884985376,0,NORMAL
25,1.0,0.6189098275685772,1.0,0.8856729482705732,1,CRITICAL
26,1.0,0.6603232270718555,1.0,0.8980969681215567,1,CRITICAL
27,0.0,0.05452138769142377,0.15726729962914154,0.047809876233255444,0,NORMAL
28,0.0,0.005849204786938329,0.20970696079739487,0.04369615359556048,0,NORMAL
29,0.78,0.5746713447469491,0.8801525059366031,0.7384319046114054,1,HIGH
30,0.16,0.4486381626471014,0.7983666681539641,0.3742647824249232,0,WATCH
31,0.44,0.4710099013756126,0.48141583740524396,0.4575861378937326,1,WATCH
32,0.0,0.16454915840011,0.28753265230795405,0.10687127798162381,0,NORMAL
33,0.0,0.0502454782258707,0.20482197292111867,0.05603803805198495,0,NORMAL
34,0.98,0.5520262727887943,0.7829082284660358,0.8121895275298455,0,CRITICAL
35,1.0,0.9034354042859037,1.0,0.9710306212857711,1,CRITICAL
36,0.44,0.744565338794077,1.0,0.6433696016382231,1,HIGH
37,0.0,0.013518823558592408,0.20754501023847177,0.04556464911527208,0,NORMAL
38,0.28,0.2891439260217861,0.2538595509319601,0.2775150879929279,1,NORMAL
39,0.0,0.1371863247103113,0.2843836774951939,0.09803263291213217,0,NORMAL
40,0.0,0.24897236605491216,0.22256025145281003,0.11920376010703565,0,NORMAL
41,1.0,0.8871868037063592,1.0,0.9661560411119077,1,CRITICAL
42,0.0,0.016436520985770014,0.1953854422780123,0.044008044751333464,0,NORMAL
43,0.0,0.12216407272870586,0.19351843531228066,0.0753529088810679,0,NORMAL
44,0.0,0.062316133573530975,0.2109646081960724,0.060887761711273775,0,NORMAL
45,1.0,0.6420734480286768,1.0,0.8926220344086031,1,CRITICAL
46,0.0,0.00789120478426259,0.18893226809440405,0.04015381505415959,0,NORMAL
47,1.0,0.8594008037260229,1.0,0.957820241117807,1,CRITICAL
48,0.77,0.21627572290430158,0.1793215398567526,0.48574702484264104,1,WATCH
49,0.7023333333333333,0.8615189911019873,1.0,0.8096223639972628,1,CRITICAL
50,0.13,0.2617971423595847,0.2396039331644303,0.19145992934076148,0,NORMAL
51,0.0,0.0878598593097143,0.19847337343384597,0.06605263247968349,0,NORMAL
52,0.0,0.046918136317813545,0.18521112378853047,0.05111766565305016,0,NORMAL
53,1.0,0.6378319280433692,1.0,0.8913495784130108,1,CRITICAL
54,1.0,0.6873678454808118,1.0,0.9062103536442436,1,CRITICAL
55,0.14,0.4414748292046856,0.34168870943682816,0.27078019064877135,1,NORMAL
56,0.0,0.01210428505805371,0.21047189255944349,0.045725664029304815,0,NORMAL
57,1.0,0.6568119745963913,1.0,0.8970435923789173,1,CRITICAL
58,0.03,0.2911720663342718,0.25083097238589197,0.15251781437745993,1,NORMAL
59,0.13,0.5003830872102598,0.6640567452007391,0.3479262752032258,1,WATCH
60,0.0,0.00521796491848857,0.20862685345394313,0.0432907601663352,0,NORMAL
61,0.08,0.07974582817638762,0.20755785988686953,0.10543532043029019,1,NORMAL
62,0.29,0.46823528091686767,0.46396119686718695,0.37826282364849767,1,WATCH
63,0.01,0.057022876421684125,0.17455211426014752,0.057017285778534745,0,NORMAL
64,0.0,0.02376398977892188,0.2000010196231732,0.04712940085831121,0,NORMAL
65,1.0,0.9175021212357901,1.0,0.975250636370737,1,CRITICAL
66,0.0,0.03237840583376363,0.1953645362949438,0.04878642900911785,0,NORMAL
67,0.53,0.846196272235049,1.0,0.7188588816705146,1,HIGH
68,1.0,0.6766981975988006,1.0,0.9030094592796403,1,CRITICAL
69,1.0,0.86817384209877,1.0,0.960452152629631,1,CRITICAL
70,0.0,0.013630302988850644,0.196382395181015,0.04336556993285819,0,NORMAL
71,1.0,0.6974263921240206,1.0,0.9092279176372062,1,CRITICAL
72,0.19,0.1573880054703245,0.2606906845055106,0.19435453854219945,0,NORMAL
73,0.0,0.01541696314901327,0.21115987873182118,0.04685706469106822,0,NORMAL
74,0.0,0.010945801267627234,0.1681161625910654,0.03690697289850125,0,NORMAL
75,1.0,0.6379890242760199,1.0,0.891396707282806,1,CRITICAL
76,0.0,0.008439333234854334,0.2071194088542177,0.043955681741299844,0,NORMAL
77,0.0,0.005766341955708398,0.17978182743115992,0.0376862680729445,0,NORMAL
78,0.12,0.4340712599116297,0.4688063037697003,0.28398263872742896,1,NORMAL
79,0.0,0.021398011911798777,0.2066934609478333,0.0477580957631063,0,NORMAL
80,0.0,0.022138936761846396,0.17996522651463484,0.04263472633148089,0,NORMAL
81,1.0,0.6985260306474617,1.0,0.9095578091942385,1,CRITICAL
82,1.0,0.6895542466166635,1.0,0.9068662739849991,1,CRITICAL
83,0.97,0.5265539639259682,0.5693677390293059,0.7568397369836517,1,HIGH
84,0.0,0.036112026741073514,0.235892632961721,0.058012134614666255,0,NORMAL
85,0.0,0.017733447235999518,0.19253338187178726,0.043826710545157306,0,NORMAL
